"","id","component_category"
"1","UBERON:0006290","1"
"2","UBERON:0006849","1"
"3","UBERON:0006291","1"
"4","UBERON:0007829","1"
"5","UBERON:0004741","1"
"6","UBERON:2000663","1"
"7","UBERON:2001852","1"
"8","UBERON:2001998","1"
"9","UBERON:2002019","1"
"10","UBERON:2002030","1"
"11","UBERON:4000160","1"
"12","UBERON:4200022","1"
"13","UBERON:4300104","1"
"14","UBERON:0015057","1"
"15","UBERON:4200099","1"
"16","UBERON:4200103","1"
"17","UBERON:1500007","2"
"18","UBERON:4300087","2"
"19","UBERON:2001586","2"
"20","UBERON:2001587","2"
"21","UBERON:2001588","2"
"22","UBERON:2002026","2"
"23","UBERON:2002027","2"
"24","UBERON:2002028","2"
"25","UBERON:2002029","2"
"26","UBERON:2002279","2"
"27","UBERON:2002280","2"
"28","UBERON:2101586","2"
"29","UBERON:2101587","2"
"30","UBERON:2101588","2"
"31","UBERON:2201586","2"
"32","UBERON:2102026","2"
"33","UBERON:2102027","2"
"34","UBERON:2102028","2"
"35","UBERON:2102029","2"
"36","UBERON:2201587","2"
"37","UBERON:4300081","2"
"38","UBERON:4300082","2"
"39","UBERON:4300083","2"
"40","UBERON:2102279","2"
"41","UBERON:2102280","2"
"42","UBERON:2201588","2"
"43","UBERON:2202026","2"
"44","UBERON:2202027","2"
"45","UBERON:2202028","2"
"46","UBERON:2202029","2"
"47","UBERON:2202279","2"
"48","UBERON:2202280","2"
"49","UBERON:2001589","2"
"50","UBERON:4400000","2"
"51","UBERON:4440009","2"
"52","UBERON:2000623","3"
"53","UBERON:2002072","3"
"54","UBERON:2002076","3"
"55","UBERON:4000175","4"
"56","UBERON:2001761","4"
"57","UBERON:2001762","4"
"58","UBERON:2001787","4"
"59","UBERON:2001993","4"
"60","UBERON:4300092","5"
"61","UBERON:2001537","5"
