"","vomer","accessory vomerine tooth plate","mental barbel","inner mental barbel","outer mental barbel","anterior nasal barbel","posterior nasal barbel","maxillary barbel","urohyal","urohyal lateral process","urohyal median process","pectoral fin spine","anterior dentation of pectoral fin spine","posterior dentation of pectoral fin spine","pectoral fin lepidotrichium","pectoral fin","pelvic fin","pelvic splint","pelvic fin ray"
"vomer",1,0.699248120300752,0.308219178082192,0.306122448979592,0.306122448979592,0.308219178082192,0.308219178082192,0.308219178082192,0.6484375,0.255474452554745,0.255474452554745,0.503225806451613,0.189024390243902,0.189024390243902,0.513157894736842,0.2,0.197231833910035,0.527027027027027,0.509803921568627
"accessory vomerine tooth plate",0.699248120300752,1,0.368852459016393,0.365853658536585,0.365853658536585,0.368852459016393,0.368852459016393,0.368852459016393,0.780952380952381,0.275862068965517,0.275862068965517,0.595419847328244,0.204225352112676,0.204225352112676,0.609375,0.218390804597701,0.215094339622642,0.629032258064516,0.604651162790698
"mental barbel",0.308219178082192,0.368852459016393,1,0.985074626865672,0.985074626865672,0.970149253731343,0.970149253731343,0.970149253731343,0.333333333333333,0.21505376344086,0.21505376344086,0.288888888888889,0.182608695652174,0.182608695652174,0.295454545454545,0.209401709401709,0.205882352941176,0.3046875,0.293233082706767
"inner mental barbel",0.306122448979592,0.365853658536585,0.985074626865672,1,0.970588235294118,0.955882352941177,0.955882352941177,0.955882352941177,0.330434782608696,0.212765957446809,0.212765957446809,0.286764705882353,0.181034482758621,0.181034482758621,0.293233082706767,0.208510638297872,0.205020920502092,0.302325581395349,0.291044776119403
"outer mental barbel",0.306122448979592,0.365853658536585,0.985074626865672,0.970588235294118,1,0.955882352941177,0.955882352941177,0.955882352941177,0.330434782608696,0.212765957446809,0.212765957446809,0.286764705882353,0.181034482758621,0.181034482758621,0.293233082706767,0.208510638297872,0.205020920502092,0.302325581395349,0.291044776119403
"anterior nasal barbel",0.308219178082192,0.368852459016393,0.970149253731343,0.955882352941177,0.955882352941177,1,0.970149253731343,0.970149253731343,0.333333333333333,0.21505376344086,0.21505376344086,0.288888888888889,0.182608695652174,0.182608695652174,0.295454545454545,0.209401709401709,0.205882352941176,0.3046875,0.293233082706767
"posterior nasal barbel",0.308219178082192,0.368852459016393,0.970149253731343,0.955882352941177,0.955882352941177,0.970149253731343,1,0.970149253731343,0.333333333333333,0.21505376344086,0.21505376344086,0.288888888888889,0.182608695652174,0.182608695652174,0.295454545454545,0.209401709401709,0.205882352941176,0.3046875,0.293233082706767
"maxillary barbel",0.308219178082192,0.368852459016393,0.970149253731343,0.955882352941177,0.955882352941177,0.970149253731343,0.970149253731343,1,0.333333333333333,0.21505376344086,0.21505376344086,0.288888888888889,0.182608695652174,0.182608695652174,0.295454545454545,0.209401709401709,0.205882352941176,0.3046875,0.293233082706767
"urohyal",0.6484375,0.780952380952381,0.333333333333333,0.330434782608696,0.330434782608696,0.333333333333333,0.333333333333333,0.333333333333333,1,0.357142857142857,0.357142857142857,0.658119658119658,0.21875,0.21875,0.675438596491228,0.226720647773279,0.223107569721116,0.7,0.669565217391304
"urohyal lateral process",0.255474452554745,0.275862068965517,0.21505376344086,0.212765957446809,0.212765957446809,0.21505376344086,0.21505376344086,0.21505376344086,0.357142857142857,1,0.958333333333333,0.2109375,0.481012658227848,0.481012658227848,0.216,0.0645161290322581,0.0634920634920635,0.223140495867769,0.214285714285714
"urohyal median process",0.255474452554745,0.275862068965517,0.21505376344086,0.212765957446809,0.212765957446809,0.21505376344086,0.21505376344086,0.21505376344086,0.357142857142857,0.958333333333333,1,0.2109375,0.481012658227848,0.481012658227848,0.216,0.0645161290322581,0.0634920634920635,0.223140495867769,0.214285714285714
"pectoral fin spine",0.503225806451613,0.595419847328244,0.288888888888889,0.286764705882353,0.286764705882353,0.288888888888889,0.288888888888889,0.288888888888889,0.658119658119658,0.2109375,0.2109375,1,0.348484848484849,0.348484848484849,0.972222222222222,0.226415094339623,0.218518518518519,0.817391304347826,0.844827586206897
"anterior dentation of pectoral fin spine",0.189024390243902,0.204225352112676,0.182608695652174,0.181034482758621,0.181034482758621,0.182608695652174,0.182608695652174,0.182608695652174,0.21875,0.481012658227848,0.481012658227848,0.348484848484849,1,0.971830985915493,0.356589147286822,0.0749063670411985,0.0698529411764706,0.315384615384615,0.303703703703704
"posterior dentation of pectoral fin spine",0.189024390243902,0.204225352112676,0.182608695652174,0.181034482758621,0.181034482758621,0.182608695652174,0.182608695652174,0.182608695652174,0.21875,0.481012658227848,0.481012658227848,0.348484848484849,0.971830985915493,1,0.356589147286822,0.0749063670411985,0.0698529411764706,0.315384615384615,0.303703703703704
"pectoral fin lepidotrichium",0.513157894736842,0.609375,0.295454545454545,0.293233082706767,0.293233082706767,0.295454545454545,0.295454545454545,0.295454545454545,0.675438596491228,0.216,0.216,0.972222222222222,0.356589147286822,0.356589147286822,1,0.229007633587786,0.220973782771536,0.839285714285714,0.867256637168142
"pectoral fin",0.2,0.218390804597701,0.209401709401709,0.208510638297872,0.208510638297872,0.209401709401709,0.209401709401709,0.209401709401709,0.226720647773279,0.0645161290322581,0.0645161290322581,0.226415094339623,0.0749063670411985,0.0749063670411985,0.229007633587786,1,0.871794871794872,0.227799227799228,0.223484848484848
"pelvic fin",0.197231833910035,0.215094339622642,0.205882352941176,0.205020920502092,0.205020920502092,0.205882352941176,0.205882352941176,0.205882352941176,0.223107569721116,0.0634920634920635,0.0634920634920635,0.218518518518519,0.0698529411764706,0.0698529411764706,0.220973782771536,0.871794871794872,1,0.229007633587786,0.224719101123595
"pelvic splint",0.527027027027027,0.629032258064516,0.3046875,0.302325581395349,0.302325581395349,0.3046875,0.3046875,0.3046875,0.7,0.223140495867769,0.223140495867769,0.817391304347826,0.315384615384615,0.315384615384615,0.839285714285714,0.227799227799228,0.229007633587786,1,0.934579439252336
"pelvic fin ray",0.509803921568627,0.604651162790698,0.293233082706767,0.291044776119403,0.291044776119403,0.293233082706767,0.293233082706767,0.293233082706767,0.669565217391304,0.214285714285714,0.214285714285714,0.844827586206897,0.303703703703704,0.303703703703704,0.867256637168142,0.223484848484848,0.224719101123595,0.934579439252336,1
